,X,y
0,всеобщее понятие логики ни в какой другой науке не чувствуется столь сильно потребность начинать с самой сути дела без предварительных размышлений как в науке логики в каждой другой науке рассматриваемый ею предмет и научный метод различаются между собой равным образом и содержание этих наук не начинает абсолютно с самого начала а зависит от других понятий и связано с окружающим его иным материалом вот почему за этими науками признается право говорить лишь при помощи лемм о почве на которой они стоят и о ее связи равно как и о методе прямо применять предполагаемые известными и принятыми формы дефиниций и т п и пользоваться для установления своих всеобщих понятий и основных определений обычным способом рассуждения,0
1,логика же напротив не может брать в качестве предпосылки ни одной из этих форм рефлексии или правил и законов мышления ибо сами они составляют часть ее содержания и сначала должны получить свое обоснование внутри нее но в ее содержание входит не только указание научного метода но и вообще само понятие науки причем это понятие составляет ее конечный результат она поэтому не может заранее сказать что она такое лишь все ее изложение порождает это знание о ней самой как ее итог letztes и завершение и точно так же ее предмет мышление или говоря определеннее мышление постигающее в понятиях рассматривается по существу внутри нее понятие этого мышления образуется в ходе ее развертывания и стало быть не может быть предпослано,0
2,то что мы предпосылаем здесь в этом введении не имеет поэтому своей целью обосновать скажем понятие логики или дать наперед научное обоснование ее содержания и метода а имеет своей целью с помощью некоторых разъяснений и размышлений в рассуждающем и историческом духе растолковать представлению ту точку зрения с которой следует рассматривать эту науку если вообще логику признают наукой о мышлении то под этим понимают что это мышление составляет голую форму некоторого познания что логика абстрагируется от всякого содержания и так называемая вторая составная часть всякого познания материя должна быть дана откудато извне что следовательно логика от которой эта материя совершенно независима может только указать формальные условия истинного познания но не может содержать самое реальную истину не может даже быть путем к реальной истине так как именно суть истины содержание находится вне ее но вопервых неудачно уже утверждение что логика абстрагируется от всякого содержания что она только учит правилам мышления не имея возможности вдаваться в рассмотрение мыслимого и его характера,0
3,в самом деле если как утверждают ее предмет мышление и правила мышления то она непосредственно в них имеет свое ей лишь свойственное содержание в них она имеет также и вторую составную часть познания некую материю характер которой ее интересует вовторых вообще представления на которых до сих пор основывалось понятие логики отчасти уже сошли со сцены отчасти им пора полностью исчезнуть пора чтобы понимание этой науки исходило из более высокой точки зрения и чтобы она приобрела совершенно измененный вид понятие логики которого придерживались до сих пор основано на раз навсегда принятом обыденным сознанием предположении о раздельности содержания познания и его формы или иначе сказать истины и достоверности,0
4,предполагается вопервых что материя познавания существует сама по себе вне мышления как некий готовый мир что мышление взятое само по себе пусто что оно примыкает к этой материи как некая форма извне наполняется ею лишь в ней обретает некоторое содержание и благодаря этому становится реальным познанием вовторых эти две составные части ибо предполагается что они находятся между собой в отношении составных частей и познание составляется из них механически или в лучшем случае химически находятся согласно этому воззрению в следующей иерархии объект есть нечто само по себе завершенное готовое нисколько не нуждающееся для своей действительности в мышлении тогда как мышление есть нечто ущербное которому еще предстоит восполнить себя в некоторой материи и притом оно должно сделать себя адекватным своей материи в качестве мягкой неопределенной формы истина есть соответствие мышления предмету и для того чтобы создать такое соответствие ибо само по себе оно не дано как нечто наличное мышление должно подчиняться предмету сообразоваться с ним,0
5,втретьих так как различие материи и формы предмета и мышления не оставляется в указанной туманной неопределенности а берется более определенно то каждая из них есть отделенная от другой сфера поэтому мышление воспринимая и формируя материю не выходит за сдои пределы воспринимание ее и сообразование с ней остается видоизменением его самого и от этого оно не становится своим иным а сознающий себя процесс определения уж во всяком случае принадлежит лишь исключительно мышлению следовательно даже в своем отношении к предмету оно не выходит из самого себя не переходит к предмету последний остается как вещь в себе просто чемто потусторонним мышлению,0
6,эти взгляды на отношение между субъектом и объектом выражают собой те определения которые составляют природу нашего обыденного сознания охватывающего лишь явления но когда эти предрассудки переносятся в область разума как будто и в нем имеет место то же самое отношение как будто это отношение истинно само по себе они представляют собой заблуждения опровержением которых проведенным через все части духовного и природного универсума служит философия или вернее они суть заблуждения от которых следует освободиться до того как приступают к философии так как они преграждают вход в нее,0
7,в этом отношении прежняя метафизика имела более возвышенное понятие о мышлении чем то которое сделалось ходячим в новейшее время а именно она полагала в основание то что есть действительно истинное das wahrhaft wahre в вещах это то что познается мышлением о них и в них следовательно действительно истинны не вещи в своей непосредственности а лишь вещи возведенные в форму мышления вещи как мыслимые эта метафизика стало быть считала что мышление и определения мышления не нечто чуждое предметам а скорее их сущность иначе говоря что вещи и мышление о них сами по себе соответствуют друг другу как и немецкий язык выражает их сродство что мышление в своих имманентных определениях и истинная природа вещей составляют одно содержание,0
8,но философией овладел рефлектирующий рассудок мы должны точно знать что означает это выражение которое часто употребляется просто как эффектное словечко schlagwort под ним следует вообще понимать абстрагирующий и стало быть разделяющий рассудок который упорствует в своих разделениях,0
9,обращенный против разума он ведет себя как обыкновенный здравый смысл и отстаивает свой взгляд согласно которому истина покоится на чувственной реальности мысли суть только мысли в том смысле что лишь чувственное восприятие сообщает им содержательность gehalt и реальность а разум поскольку он остается сам по себе порождает лишь в этом отречении разума от самого себя утрачивается понятие истины разум ограничивают познанием только субъективной истины только явления только чегото такого чему не соответствует природа самой вещи знание низведено до уровня мнения однако это направление принятое познанием и представляющееся потерей и шагом назад имеет более глубокое основание на котором вообще покоится возведение разума в более высокий дух новейшей философии,0
10,а именно основание указанного ставшего всеобщим представления следует искать в понимании того что определения рассудка необходимо сталкиваются с самими собой уже названная нами рефлексия заключается в том что выходят за пределы конкретно непосредственного и определяют и разделяют его но равным образом она должна выходить и за пределы этих своих разделяющих определений и прежде всего соотносить их,0
11,в стадии auf dem standpunkte этого соотнесения выступает наружу их столкновение это осуществляемое рефлексией соотнесение само по себе есть дело разума возвышение над указанными определениями которое приходит к пониманию их столкновения есть большой отрицательный шаг к истинному понятию разума но это не доведенное до конца понимание приводит к ошибочному взгляду будто именно разум впадает в противоречие с собой оно не признает что противоречие как раз и есть возвышение разума над ограниченностью рассудка и ее устранение,0
